Class,Duration (s)
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,5.0
Belly or Physical pain,6.86
Belly or Physical pain,6.94
Belly or Physical pain,6.96
Belly or Physical pain,6.92
Belly or Physical pain,6.96
Belly or Physical pain,6.94
Belly or Physical pain,7.04
Belly or Physical pain,6.88
Belly or Physical pain,6.92
Belly or Physical pain,6.9
Belly or Physical pain,6.9
Belly or Physical pain,6.92
Belly or Physical pain,7.02
Belly or Physical pain,6.86
Belly or Physical pain,6.92
Belly or Physical pain,6.92
Belly or Physical pain,6.94
Belly or Physical pain,6.88
Belly or Physical pain,6.9
Belly or Physical pain,6.9
Belly or Physical pain,6.96
Belly or Physical pain,6.96
Belly or Physical pain,6.52
Belly or Physical pain,6.86
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,7.0
Belly or Physical pain,6.9
Belly or Physical pain,7.0
Belly or Physical pain,6.82
Belly or Physical pain,6.84
Belly or Physical pain,6.84
Belly or Physical pain,6.86
Belly or Physical pain,6.9
Belly or Physical pain,6.96
Belly or Physical pain,6.82
Belly or Physical pain,6.84
Belly or Physical pain,6.84
Belly or Physical pain,3.99
Belly or Physical pain,3.99
Belly or Physical pain,4.89
Belly or Physical pain,3.99
Belly or Physical pain,3.36
Belly or Physical pain,3.99
Belly or Physical pain,2.34
Belly or Physical pain,3.99
Belly or Physical pain,3.45
Belly or Physical pain,3.27
Belly or Physical pain,3.75
Belly or Physical pain,3.99
Belly or Physical pain,3.15
Belly or Physical pain,1.41
Belly or Physical pain,3.99
Belly or Physical pain,4.98
Belly or Physical pain,3.24
Belly or Physical pain,3.15
Belly or Physical pain,3.51
Belly or Physical pain,3.57
Belly or Physical pain,3.99
Belly or Physical pain,1.38
Belly or Physical pain,3.99
Belly or Physical pain,3.39
Belly or Physical pain,3.99
