Class,File,Duration (s),Sample Rate,Channels
Belly or Physical pain,D1_Belly_or_Physical_pain_0001.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0002.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0003.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0004.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0005.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0006.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0007.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0008.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0009.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0010.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0011.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0012.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0013.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0014.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0015.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0016.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0017.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0018.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0019.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0020.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0021.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0022.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0023.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0024.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0025.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0026.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0027.wav,7.0,16000,1
