Class,Sample Rate
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
Belly or Physical pain,16000
